ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.63.70.67","elite","AS20473","US","The Constant Company","102","Vultr Holdings, LLC","29313","socks4","62","1","2025-04-12T22:46:24.183Z","71","6703","9449"
"121.232.178.139","elite","AS4134","CN","Chinanet","223","Chinanet JS","8089","http","185","5001","2025-04-12T22:46:23.227Z","100","5","5"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","173","DhakaCom Limited","5678","socks4","234","1","2025-04-12T22:46:23.888Z","95","9005","9498"
"103.212.93.225","elite","AS138312","IN","Best Telnet Services Private Limited","126","Best telnet services private limited","45639","socks4","69","1","2025-04-12T22:46:23.264Z","99","9413","9478"
"201.251.155.249","elite","AS22927","AR","Telefonica de Argentina","264","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","81","1","2025-04-12T22:46:22.325Z","99","9309","9388"
"174.75.211.194","elite","AS22773","US","Cox Communications Inc.","178","Cox Communications","4145","socks4","198","1","2025-04-12T22:46:21.980Z","54","5046","9348"
"109.86.219.179","elite","AS13188","UA","Triolan","39","N/A","55489","socks4","606","1","2025-04-12T22:46:19.778Z","98","9299","9531"
"31.146.161.194","elite","AS35805","GE","JSC \"Silknet\"","66","Silknet Gpon","5678","socks4","868","1","2025-04-12T22:46:19.371Z","98","9264","9477"
"167.172.162.201","elite","AS14061","DE","DigitalOcean, LLC","23","DigitalOcean, LLC","3128","socks4","236","1","2025-04-12T22:46:19.888Z","28","2646","9436"
"196.206.211.165","elite","AS36903","MA","IP ADSL MarocTelecom","59","N/A","8888","socks4","913","1","2025-04-12T22:46:19.702Z","43","193","450"
"84.53.239.95","elite","AS34168","RU","Elcom ISP","79","OJSC Rostelecom","4145","socks4","1910","1","2025-04-12T22:46:18.563Z","93","8768","9430"
"203.80.190.162","elite","AS38592","BD","Chittagong Online Limited","187","CTGONLINENET","8080","socks4","1106","1","2025-04-12T22:46:18.702Z","97","9174","9459"
"43.153.58.204","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","151","Tencent Cloud Computing","443","socks4","1776","1","2025-04-12T22:46:18.567Z","89","8400","9414"
"202.180.23.42","elite","AS38758","ID","PT. HIPERNET INDODATA","192","Hipernet Indodata PT","4153","socks4","1205","1","2025-04-12T22:46:18.701Z","37","3554","9508"
"110.78.152.196","elite","AS131090","TH","CAT-BB","187","N/A","5678","socks4","284","1","2025-04-12T22:46:18.752Z","75","7082","9484"
"85.62.10.88","elite","AS12479","ES","Orange Espagne SA","32","Alkora","8080","socks4","1007","60","2025-04-12T22:46:18.763Z","70","399","570"
"45.166.246.10","elite","AS267973","BR","G.V.R. TELECOMUNICAÇÕES E SERVIÇOS LTDA - ME","252","Brasil G5 Telecomunicação LTDA","4153","socks4","335","1","2025-04-12T22:46:18.665Z","10","931","9453"
"203.160.59.249","elite","AS24527","ID","Internet Service Provider","176","POP Jakarta","4145","socks4","717","60","2025-04-12T22:46:18.172Z","97","2684","2759"
"177.70.66.49","elite","AS262544","BR","RazaoInfo Internet Ltda","233","RazaoInfo Internet Ltda","4145","socks4","880","1","2025-04-12T22:46:17.768Z","99","9367","9429"
"177.53.169.178","elite","AS262474","BR","Alterna Telecomunicacoes E Conectividade Ltda EPP","880","Alterna Telecomunicacoes E Conectividade Ltda EPP","4153","socks4","1582","1","2025-04-12T22:46:17.767Z","99","9415","9479"
"43.153.172.76","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","244","Tencent Cloud Computing","443","socks5","1417","1","2025-04-12T22:46:17.086Z","97","9195","9438"
"75.119.203.32","elite","AS26347","US","New Dream Network, LLC","158","New Dream Network, LLC","52186","socks5","1305","1","2025-04-12T22:46:17.087Z","60","5746","9507"
