device,useragent
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_8_7 like Mac OS X) AppleWebKit/603.12 (KHTML, like Gecko)  Chrome/55.0.1766.387 Mobile Safari/603.8"
firefox,Mozilla/5.0 (Linux x86_64; en-US) Gecko/20100101 Firefox/64.8
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_1_7) AppleWebKit/533.10 (KHTML, like Gecko) Chrome/48.0.2451.315 Safari/602"
linux,"Mozilla/5.0 (Linux i671 x86_64; en-US) AppleWebKit/537.27 (KHTML, like Gecko) Chrome/50.0.1686.354 Safari/603"
edge,"Mozilla/5.0 (Windows; Windows NT 10.5; x64) AppleWebKit/536.49 (KHTML, like Gecko) Chrome/47.0.1025.310 Safari/602.7 Edge/10.50227"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; x64 Trident/4.0)
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_8_9) Gecko/20100101 Firefox/61.3
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64; en-US) AppleWebKit/601.12 (KHTML, like Gecko) Chrome/55.0.1916.310 Safari/602.9 Edge/17.80797"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.1; Trident/4.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_8_9; like Mac OS X) AppleWebKit/537.28 (KHTML, like Gecko)  Chrome/52.0.2706.271 Mobile Safari/603.5"
edge,"Mozilla/5.0 (Windows NT 10.1; x64; en-US) AppleWebKit/536.25 (KHTML, like Gecko) Chrome/49.0.3202.211 Safari/533.6 Edge/12.64108"
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/73.2
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64) AppleWebKit/600.38 (KHTML, like Gecko) Chrome/53.0.1487.114 Safari/601.9 Edge/9.58078"
chrome,"Mozilla/5.0 (Linux; U; Linux i545 ; en-US) AppleWebKit/600.7 (KHTML, like Gecko) Chrome/52.0.3975.114 Safari/533"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.2; Win64; x64) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/54.0.2566.394 Safari/603"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0; Win64; x64; en-US) AppleWebKit/601.5 (KHTML, like Gecko) Chrome/49.0.3356.365 Safari/533.4 Edge/12.68626"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_9_9; en-US) Gecko/20130401 Firefox/60.9
